
,,Palash Nivas,32,,Staff,65,,Security,63,,Aroyga & Bank,8,,Cabs,64,,1403,,,
,,Bakul Nivas,16,,Support staff,41,,Housekeeping,176,,Vendors,32,,House maids,14,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,90,,Milk & Paper,12,,Couriers,67,,Civil Vendors,26,,,,,
,,Parijat Nivas,25,,Internship,0,,Visitors,28,,Food Delivery,276,,Mess workers,29,,,,,
,,Faculty,12,,Dayscholor,12,,Event Visitors,139,,CIE / Visitors,165,,,,,,,,
,Total ,,96,,Total,208,,Total,418,,Total,548,,Total,133,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,18-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,40,,Staff,0,,Security,63,,Aroyga & Bank,3,,Cabs,58,,812,,,
,,Bakul Nivas,31,,Support staff,1,,Housekeeping,15,,Vendors,13,,House maids,4,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,0,,Milk & Paper,12,,Couriers,65,,Civil Vendors,6,,,,,
,,Parijat Nivas,22,,Internship,0,,Visitors,25,,Food Delivery,380,,Mess workers,28,,,,,
,,Faculty,1,,Dayscholor,0,,Event Visitors,34,,CIE / Visitors,0,,,,,,,,
,Total ,,105,,Total,1,,Total,149,,Total,461,,Total,96,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,19-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,65,,Security,63,,Aroyga & Bank,8,,Cabs,64,,1350,,,
,,Bakul Nivas,21,,Support staff,44,,Housekeeping,170,,Vendors,27,,House maids,11,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,70,,Milk & Paper,10,,Couriers,75,,Civil Vendors,10,,,,,
,,Parijat Nivas,12,,Internship,0,,Visitors,20,,Food Delivery,367,,Mess workers,26,,,,,
,,Faculty,16,,Dayscholor,10,,Event Visitors,0,,CIE / Visitors,220,,,,,,,,
,Total ,,90,,Total,189,,Total,263,,Total,697,,Total,111,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,20-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,70,,Security,63,,Aroyga & Bank,10,,Cabs,69,,1390,,,
,,Bakul Nivas,21,,Support staff,42,,Housekeeping,172,,Vendors,27,,House maids,13,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,60,,Milk & Paper,8,,Couriers,76,,Civil Vendors,15,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,15,,Food Delivery,366,,Mess workers,27,,,,,
,,Faculty,18,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,242,,,,,,,,
,Total ,,100,,Total,187,,Total,258,,Total,721,,Total,124,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,21-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,31,,Staff,72,,Security,63,,Aroyga & Bank,9,,Cabs,72,,1438,,,
,,Bakul Nivas,21,,Support staff,44,,Housekeeping,170,,Vendors,37,,House maids,15,,,,,
,,Kadamba Nivas,20,,ARL & I HUB,58,,Milk & Paper,10,,Couriers,73,,Civil Vendors,23,,,,,
,,Parijat Nivas,21,,Internship,11,,Visitors,24,,Food Delivery,342,,Mess workers,25,,,,,
,,Faculty,17,,Dayscholor,20,,Event Visitors,5,,CIE / Visitors,255,,,,,,,,
,Total ,,110,,Total,205,,Total,272,,Total,716,,Total,135,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,22-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,74,,Security,63,,Aroyga & Bank,9,,Cabs,52,,1507,,,
,,Bakul Nivas,22,,Support staff,41,,Housekeeping,173,,Vendors,33,,House maids,16,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,96,,Milk & Paper,9,,Couriers,41,,Civil Vendors,31,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,31,,Food Delivery,431,,Mess workers,30,,,,,
,,Faculty,16,,Dayscholor,18,,Event Visitors,,,CIE / Visitors,260,,,,,,,,
,Total ,,99,,Total,229,,Total,276,,Total,774,,Total,129,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,23-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,24,,Staff,70,,Security,63,,Aroyga & Bank,6,,Cabs,46,,1409,,,
,,Bakul Nivas,21,,Support staff,39,,Housekeeping,170,,Vendors,31,,House maids,14,,,,,
,,Kadamba Nivas,20,,ARL & I HUB,70,,Milk & Paper,10,,Couriers,53,,Civil Vendors,23,,,,,
,,Parijat Nivas,15,,Internship,0,,Visitors,21,,Food Delivery,442,,Mess workers,25,,,,,
,,Faculty,11,,Dayscholor,20,,Event Visitors,0,,CIE / Visitors,215,,,,,,,,
,Total ,,91,,Total,199,,Total,264,,Total,747,,Total,108,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,24-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,72,,Security,63,,Aroyga & Bank,5,,Cabs,36,,1656,,,
,,Bakul Nivas,22,,Support staff,40,,Housekeeping,165,,Vendors,41,,House maids,14,,,,,
,,Kadamba Nivas,20,,ARL & I HUB,65,,Milk & Paper,7,,Couriers,32,,Civil Vendors,23,,,,,
,,Parijat Nivas,21,,Internship,0,,Visitors,38,,Food Delivery,615,,Mess workers,26,,,,,
,,Faculty,8,,Dayscholor,20,,Event Visitors,113,,CIE / Visitors,180,,,,,,,,
,Total ,,101,,Total,197,,Total,386,,Total,873,,Total,99,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,25-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,35,,Staff,0,,Security,63,,Aroyga & Bank,4,,Cabs,26,,908,,,
,,Bakul Nivas,22,,Support staff,6,,Housekeeping,25,,Vendors,14,,House maids,1,,,,,
,,Kadamba Nivas,16,,ARL & I HUB,0,,Milk & Paper,12,,Couriers,44,,Civil Vendors,6,,,,,
,,Parijat Nivas,25,,Internship,2,,Visitors,15,,Food Delivery,528,,Mess workers,34,,,,,
,,Faculty,0,,Dayscholor,0,,Event Visitors,25,,CIE / Visitors,5,,,,,,,,
,Total ,,98,,Total,8,,Total,140,,Total,595,,Total,67,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,26-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,28,,Staff,73,,Security,63,,Aroyga & Bank,11,,Cabs,42,,1526,,,
,,Bakul Nivas,14,,Support staff,41,,Housekeeping,176,,Vendors,35,,House maids,14,,,,,
,,Kadamba Nivas,9,,ARL & I HUB,95,,Milk & Paper,12,,Couriers,46,,Civil Vendors,19,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,27,,Food Delivery,556,,Mess workers,31,,,,,
,,Faculty,16,,Dayscholor,18,,Event Visitors,0,,CIE / Visitors,180,,,,,,,,
,Total ,,87,,Total,227,,Total,278,,Total,828,,Total,106,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,27-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,16,,Staff,69,,Security,63,,Aroyga & Bank,10,,Cabs,34,,1583,,,
,,Bakul Nivas,29,,Support staff,43,,Housekeeping,169,,Vendors,45,,House maids,13,,,,,
,,Kadamba Nivas,21,,ARL & I HUB,95,,Milk & Paper,11,,Couriers,40,,Civil Vendors,17,,,,,
,,Parijat Nivas,25,,Internship,0,,Visitors,18,,Food Delivery,520,,Mess workers,24,,,,,
,,Faculty,16,,Dayscholor,20,,Event Visitors,120,,CIE / Visitors,165,,,,,,,,
,Total ,,107,,Total,227,,Total,381,,Total,780,,Total,88,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,28-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,23,,Staff,73,,Security,63,,Aroyga & Bank,9,,Cabs,52,,1436,,,
,,Bakul Nivas,19,,Support staff,42,,Housekeeping,172,,Vendors,34,,House maids,19,,,,,
,,Kadamba Nivas,15,,ARL & I HUB,85,,Milk & Paper,13,,Couriers,63,,Civil Vendors,19,,,,,
,,Parijat Nivas,29,,Internship,0,,Visitors,28,,Food Delivery,456,,Mess workers,24,,,,,
,,Faculty,15,,Dayscholor,19,,Event Visitors,8,,CIE / Visitors,156,,,,,,,,
,Total ,,101,,Total,219,,Total,284,,Total,718,,Total,114,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,29-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,35,,Staff,76,,Security,63,,Aroyga & Bank,8,,Cabs,73,,1501,,,
,,Bakul Nivas,20,,Support staff,46,,Housekeeping,177,,Vendors,29,,House maids,16,,,,,
,,Kadamba Nivas,9,,ARL & I HUB,82,,Milk & Paper,15,,Couriers,35,,Civil Vendors,22,,,,,
,,Parijat Nivas,26,,Internship,1,,Visitors,9,,Food Delivery,499,,Mess workers,26,,,,,
,,Faculty,16,,Dayscholor,18,,Event Visitors,20,,CIE / Visitors,180,,,,,,,,
,Total ,,106,,Total,223,,Total,284,,Total,751,,Total,137,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,1-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,41,,Staff,73,,Security,63,,Aroyga & Bank,9,,Cabs,72,,1467,,,
,,Bakul Nivas,20,,Support staff,44,,Housekeeping,169,,Vendors,43,,House maids,18,,,,,
,,Kadamba Nivas,14,,ARL & I HUB,76,,Milk & Paper,13,,Couriers,32,,Civil Vendors,19,,,,,
,,Parijat Nivas,28,,Internship,1,,Visitors,30,,Food Delivery,449,,Mess workers,46,,,,,
,,Faculty,14,,Dayscholor,18,,Event Visitors,0,,CIE / Visitors,175,,,,,,,,
,Total ,,117,,Total,212,,Total,275,,Total,708,,Total,155,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,2-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,32,,Staff,68,,Security,63,,Aroyga & Bank,6,,Cabs,68,,1418,,,
,,Bakul Nivas,20,,Support staff,41,,Housekeeping,165,,Vendors,51,,House maids,24,,,,,
,,Kadamba Nivas,19,,ARL & I HUB,110,,Milk & Paper,10,,Couriers,35,,Civil Vendors,9,,,,,
,,Parijat Nivas,27,,Internship,1,,Visitors,51,,Food Delivery,378,,Mess workers,32,,,,,
