Date,Total_Visitors,DayOfWeek,Rank
2024-04-11,267,Thursday,1
2025-05-18,270,Sunday,2
2024-02-25,305,Sunday,3
2024-05-26,308,Sunday,4
2024-05-13,315,Monday,5
2024-10-31,317,Thursday,6
2024-07-21,324,Sunday,7
2024-07-07,328,Sunday,8
2024-06-23,330,Sunday,9
2025-05-25,332,Sunday,10
