DayOfWeek,DayOfWeek_Num,Total_Visitors,Avg_Daily,StdDev,Days_Count
Monday,0,56296,46.99165275459099,67.2375178499537,1198
Tuesday,1,57281,48.379222972972975,66.35388060682718,1184
Wednesday,2,57517,48.09113712374582,66.36835880968282,1196
Thursday,3,58824,48.25594749794914,67.11287543812738,1219
Friday,4,57922,49.128074639525025,70.86644017850325,1179
Saturday,5,61703,51.720871751886,75.05826623885629,1193
Sunday,6,42390,35.98471986417657,65.7446317636758,1178
